Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Sound Duration,Pause Duration
0.031198978424072266,7,7,0.01,0.01,0.3
3.495619535446167,5,5,0.01,0.01,0.3
5.50836181640625,7,7,0.01,0.01,0.3
8.00668454170227,5,5,0.01,0.01,0.3
9.683611631393433,7,7,0.01,0.01,0.3
11.69401741027832,5,5,0.01,0.01,0.3
13.254756212234497,7,7,0.01,0.01,0.3
14.647062301635742,5,5,0.01,0.01,0.3
16.01642394065857,7,7,0.01,0.01,0.3
17.442211151123047,5,5,0.01,0.01,0.3
18.922982931137085,7,7,0.01,0.01,0.3
