Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Rate,Irregularity
0.031175851821899414,3,3,0.0,0.0,0.0
3.4194278717041016,1,1,0.0,0.0,0.0
6.847737073898315,5,5,0.0,0.0,0.0
11.296284675598145,3,3,0.0,0.0,0.0
18.220709085464478,5,5,0.0,0.0,0.0
23.209112644195557,1,1,0.0,0.0,0.0
28.204268217086792,3,3,0.0,0.0,0.0
31.55673336982727,7,7,0.0,0.0,0.0
40.681522607803345,3,3,0.0,0.0,0.0
46.71083116531372,7,7,0.0,0.0,0.0
51.558154344558716,5,5,0.0,0.0,0.0
57.871527910232544,1,1,0.0,0.0,0.0
