Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Rate,Irregularity
0.03104853630065918,1,1,0.0,0.0,0.0
2.8115551471710205,3,3,0.0,0.0,0.0
6.3707520961761475,5,5,0.0,0.0,0.0
13.830993890762329,3,3,0.0,0.0,0.0
19.431177854537964,5,5,0.0,0.0,0.0
26.081669569015503,7,7,0.0,0.0,0.0
32.01730680465698,5,5,0.0,0.0,0.0
38.70888638496399,3,3,0.0,0.0,0.0
43.96004772186279,5,5,0.0,0.0,0.0
49.65339112281799,1,1,0.0,0.0,0.0
56.42379021644592,7,7,0.0,0.0,0.0
67.79489707946777,3,3,0.0,0.0,0.0
80.54648804664612,7,7,0.0,0.0,0.0
87.51252627372742,1,1,0.0,0.0,0.0
100.81273126602173,3,3,0.0,0.0,0.0
109.33501529693604,5,5,0.0,0.0,0.0
