Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Sound Duration,Pause Duration
0.04115939140319824,5,5,0.01,0.01,0.3
3.0542659759521484,7,7,0.01,0.01,0.3
5.145189523696899,5,5,0.01,0.01,0.3
6.717335224151611,7,7,0.01,0.01,0.3
8.274402141571045,5,5,0.01,0.01,0.3
9.677124977111816,7,7,0.01,0.01,0.3
11.030282974243164,5,5,0.01,0.01,0.3
12.372106790542603,7,7,0.01,0.01,0.3
13.834856748580933,5,5,0.01,0.01,0.3
15.191398620605469,7,7,0.01,0.01,0.3
16.684105157852173,5,5,0.01,0.01,0.3
17.894084930419922,5,7,0.01,0.01,0.3
18.32967448234558,7,7,0.01,0.01,0.3
20.894169330596924,5,5,0.01,0.01,0.3
22.387051343917847,7,7,0.01,0.01,0.3
23.631301403045654,5,5,0.01,0.01,0.3
25.099913835525513,7,7,0.01,0.01,0.3
26.937241077423096,5,5,0.01,0.01,0.3
