Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Sound Duration,Pause Duration
0.030770540237426758,5,5,0.01,0.01,0.3
2.8861985206604004,7,7,0.01,0.01,0.3
5.261717796325684,5,5,0.01,0.01,0.3
7.757879972457886,7,7,0.01,0.01,0.3
9.2795889377594,5,5,0.01,0.01,0.3
10.643641233444214,7,7,0.01,0.01,0.3
11.963767766952515,5,5,0.01,0.01,0.3
13.700138568878174,7,7,0.01,0.01,0.3
14.753491401672363,5,5,0.01,0.01,0.3
15.815537691116333,7,7,0.01,0.01,0.3
16.179664373397827,5,5,0.01,0.01,0.3
18.189445972442627,7,7,0.01,0.01,0.3
