Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Sound Duration,Pause Duration
0.09081673622131348,5,5,0.01,0.01,0.3
2.3603756427764893,7,7,0.01,0.01,0.3
4.613023996353149,5,5,0.01,0.01,0.3
6.244083642959595,7,7,0.01,0.01,0.3
7.456181049346924,5,5,0.01,0.01,0.3
8.79314136505127,7,7,0.01,0.01,0.3
10.046631813049316,5,5,0.01,0.01,0.3
11.163535833358765,7,7,0.01,0.01,0.3
12.184436559677124,5,5,0.01,0.01,0.3
13.476657390594482,7,7,0.01,0.01,0.3
15.114818811416626,5,5,0.01,0.01,0.3
16.273397207260132,7,7,0.01,0.01,0.3
17.394707441329956,5,5,0.01,0.01,0.3
18.6623797416687,7,7,0.01,0.01,0.3
19.722829818725586,5,5,0.01,0.01,0.3
20.8372483253479,7,7,0.01,0.01,0.3
22.051156282424927,5,5,0.01,0.01,0.3
23.308907508850098,7,7,0.01,0.01,0.3
24.43362832069397,5,5,0.01,0.01,0.3
25.466283559799194,7,7,0.01,0.01,0.3
26.74774479866028,5,5,0.01,0.01,0.3
28.088719606399536,7,7,0.01,0.01,0.3
29.123140335083008,5,5,0.01,0.01,0.3
29.32795286178589,7,7,0.01,0.01,0.3
31.339849710464478,5,5,0.01,0.01,0.3
32.72132205963135,7,7,0.01,0.01,0.3
34.17715239524841,5,5,0.01,0.01,0.3
36.16295599937439,7,7,0.01,0.01,0.3
37.899518966674805,5,5,0.01,0.01,0.3
39.45889687538147,7,7,0.01,0.01,0.3
40.56713151931763,7,5,0.01,0.01,0.3
41.117958068847656,5,5,0.01,0.01,0.3
42.90292930603027,7,7,0.01,0.01,0.3
45.29507565498352,5,5,0.01,0.01,0.3
47.30628299713135,7,7,0.01,0.01,0.3
49.937599897384644,5,5,0.01,0.01,0.3
51.4243483543396,7,7,0.01,0.01,0.3
52.82219934463501,5,5,0.01,0.01,0.3
54.07788300514221,7,7,0.01,0.01,0.3
56.42320466041565,5,5,0.01,0.01,0.3
