Poke Timestamp (seconds),Port Visited,Current Reward Port,Amplitude,Sound Duration,Pause Duration
0.030904054641723633,7,7,0.01,0.01,0.3
3.4518473148345947,5,5,0.01,0.01,0.3
5.177873134613037,7,7,0.01,0.01,0.3
6.692517518997192,5,5,0.01,0.01,0.3
8.102240085601807,7,7,0.01,0.01,0.3
9.913679599761963,5,5,0.01,0.01,0.3
11.002097368240356,7,7,0.01,0.01,0.3
12.096102476119995,5,5,0.01,0.01,0.3
19.11393713951111,7,7,0.01,0.01,0.3
22.362948417663574,5,5,0.01,0.01,0.3
24.052868366241455,7,7,0.01,0.01,0.3
25.0843186378479,7,5,0.01,0.01,0.3
25.409542560577393,7,5,0.01,0.01,0.3
26.09423851966858,5,5,0.01,0.01,0.3
30.914733409881592,7,7,0.01,0.01,0.3
42.28918218612671,5,5,0.01,0.01,0.3
44.01547145843506,7,7,0.01,0.01,0.3
46.243757009506226,5,5,0.01,0.01,0.3
47.41033983230591,7,7,0.01,0.01,0.3
48.65380096435547,5,5,0.01,0.01,0.3
50.029093980789185,7,7,0.01,0.01,0.3
51.07029604911804,5,5,0.01,0.01,0.3
52.3599898815155,7,7,0.01,0.01,0.3
53.574674129486084,5,5,0.01,0.01,0.3
54.8442497253418,7,7,0.01,0.01,0.3
